delay_us,p1
0.0,0.0009765625
5.2631578947368425,0.564453125
10.526315789473685,0.8857421875
15.789473684210527,0.3525390625
21.05263157894737,0.2333984375
26.315789473684212,0.7109375
31.578947368421055,0.66015625
36.8421052631579,0.3095703125
42.10526315789474,0.4072265625
47.36842105263158,0.666015625
52.631578947368425,0.5205078125
57.89473684210527,0.345703125
63.15789473684211,0.5244140625
68.42105263157896,0.595703125
73.6842105263158,0.478515625
78.94736842105263,0.4150390625
84.21052631578948,0.5576171875
89.47368421052633,0.54296875
94.73684210526316,0.443359375
100.0,0